,movie,year,time_minute,imdb_rating,metascore
0,Avatar: The Way of Water,(2022),192 min,7.8,67        
1,Puss in Boots: The Last Wish,(2022),102 min,7.9,75        
2,The Banshees of Inisherin,(2022),114 min,7.8,87        
3,Everything Everywhere All at Once,(2022),139 min,8.0,81        
4,The Fabelmans,(2022),151 min,7.7,84        
5,Knives Out,(2019),130 min,7.9,82        
6,Avatar,(2009),162 min,7.9,83        
7,Top Gun: Maverick,(2022),130 min,8.3,78        
8,Aftersun,(II) (2022),102 min,7.8,95        
9,All Quiet on the Western Front,(2022),148 min,7.8,76        
10,Guillermo del Toro's Pinocchio,(2022),117 min,7.7,79        
11,RRR,(2022),187 min,7.9,83        
12,The Godfather,(1972),175 min,9.2,100        
13,The Batman,(2022),176 min,7.8,72        
14,Once Upon a Time in Hollywood,(2019),161 min,7.6,83        
15,The Shawshank Redemption,(1994),142 min,9.3,81        
16,Interstellar,(2014),169 min,8.6,74        
17,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        
18,Titanic,(1997),194 min,7.9,75        
19,Pulp Fiction,(1994),154 min,8.9,94        
20,Dune,(2021),155 min,8.0,74        
21,The Goonies,(1985),114 min,7.7,62        
22,Spider-Man: No Way Home,(2021),148 min,8.2,71        
23,The Wolf of Wall Street,(2013),180 min,8.2,75        
24,American Psycho,(2000),102 min,7.6,64        
25,The Dark Knight,(2008),152 min,9.0,84        
26,Inception,(2010),148 min,8.8,74        
27,Fight Club,(1999),139 min,8.8,66        
28,Whiplash,(2014),106 min,8.5,89        
29,The Gentlemen,(2019),113 min,7.8,51        
30,The Blues Brothers,(1980),133 min,7.9,60        
31,Good Will Hunting,(1997),126 min,8.3,70        
32,Heat,(1995),170 min,8.3,76        
33,Avengers: Endgame,(2019),181 min,8.4,78        
34,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        
35,Parasite,(2019),132 min,8.5,96        
36,Blade Runner 2049,(2017),164 min,8.0,81        
37,Prisoners,(2013),153 min,8.1,70        
38,In Bruges,(2008),107 min,7.9,67        
